Customer Name,Total Sales,Total Profit,Number of orders
Tamara Chand,19052.218,8981.323900000001,5
Raymond Buch,15117.339,6976.0959,6
Sanjit Chand,14142.333999999999,5757.411899999999,9
Hunter Lopez,12873.297999999999,5622.4292000000005,6
Adrian Barton,14473.570999999998,5444.8055,10
Tom Ashbrook,14595.62,4703.7883,4
Christopher Martinez,8954.019999999999,3899.8903999999998,4
Keith Dawkins,8181.256,3038.6254,12
Andy Reiter,6608.448,2884.6208,6
Daniel Raglin,8350.868,2869.0759999999996,8
Tom Boeckenhauer,9133.99,2798.3689,7
Nathan Mautz,6459.344,2751.6848999999997,7
Sanjit Engle,12209.438000000002,2650.6769,11
Bill Shonely,10501.653,2616.0643999999998,5
Harry Marie,8236.7648,2437.9836,10
Todd Sumrall,11891.751,2371.7144000000003,6
Brian Moss,7294.185,2199.2781,11
Christopher Conant,12129.072000000002,2177.0493,5
Jane Waco,7721.714,2173.7093999999997,6
Helen Wasserman,9300.254,2164.1611,8
Greg Tran,11820.119999999999,2163.4269,11
Laura Armstrong,8673.222,2059.1199,11
Adam Bellavance,7755.62,2054.5885,8
Fred Hopkins,6987.196,2050.2826,8
Pete Kriz,8646.934,2038.2676000000001,12
Steven Roelle,4345.8859999999995,1990.4243999999999,8
Shirley Daniels,6121.114,1985.1671999999999,9
Clay Ludtke,10880.546,1933.7830999999999,12
Robert Marley,5979.0960000000005,1902.5438000000001,5
Alan Dominguez,6106.88,1869.9294,8
Maria Etezadi,10663.728000000001,1859.4695,10
Mark Cousins,4432.138,1802.3903,5
Yana Sorensen,6720.4439999999995,1778.2923,8
Katrina Willman,4416.5199999999995,1756.135,5
Penelope Sewall,6843.634,1742.7296999999999,7
Darrin Martin,6345.103,1677.3931,7
Mitch Willingham,5253.876,1665.516,2
Karen Ferguson,10604.266,1660.1386,7
Dan Reichenbach,6528.034000000001,1641.8613,9
Jim Epp,7754.976,1623.4019,7
Justin Deggeller,8828.0305,1619.5199,8
Valerie Dominguez,6442.254,1617.7874000000002,6
Rick Wilson,7397.401,1586.6273,7
John Murray,7625.076000000001,1574.6163999999999,7
Corinna Mitchell,6339.5576,1572.4585,6
Dennis Pardue,5480.723999999999,1571.8318,9
Ben Ferrer,5907.972,1538.2127,11
Paul Prost,7252.608,1495.0854,10
Bill Eplett,4204.676,1487.7739000000001,5
Grace Kelly,6497.27,1448.5525,9
James Galang,6366.392,1415.6664,11
Edward Hooks,10310.880000000001,1393.5154,12
Amy Cox,5527.846,1366.0098,7
Dianna Wilson,5271.628,1348.7556,5
Eugene Moren,4588.436000000001,1319.3655,6
Denise Monton,4074.4719999999998,1319.0586,8
Nick Crebassa,8241.739,1314.758,7
Alan Hwang,4805.344,1308.5546,9
Yoseph Carroll,5454.35,1305.629,5
Anna Häberlin,7888.294,1298.0166,12
Ruben Ausman,3832.314,1292.8656,7
Pierre Wener,3922.4150000000004,1290.354,7
Rick Huthwaite,6979.18,1289.4535,6
Lena Creighton,7663.126,1288.3469,12
Steven Cartwright,5226.21,1276.6513,11
Joe Elijah,8697.842999999999,1262.2926,10
Matt Abelman,4299.161,1240.2266,11
Mitch Webber,5341.900000000001,1238.422,7
Kristen Hastings,5990.799,1227.5091,7
Jamie Kunitz,4427.142,1219.983,5
Frank Carlisle,3418.742,1217.1662000000001,7
Naresj Patel,5529.62,1208.8890000000001,6
Roland Schwarz,4159.7699999999995,1206.3851,8
Quincy Jones,6108.338,1203.6768,9
Seth Vernon,11470.949999999999,1199.4242,10
Harold Ryan,5248.787,1196.9504,7
Dave Hallsten,4932.872,1193.7404,6
